SKU,Brand,Description,Qty 2023-24,Category,Core/Non Core
100623050771,WORKSTORE,WIRO NOTEBOOK 160 PAGES BLACK  A5 SIZE,"3,282.00",Office Supplies,CORE
100501190023,GALA,GALA 198/D DUSTPAN 1 PC,"3,274.00",Cleaning & Hygiene Products,CORE
10057914,CELLO,CELLO GRIPPER BALL PEN BLACK   INK  0.5MM (PACK OF 10 PCS ),"3,264.00",Office Supplies,CORE
100501190026,GALA,GALA 204 PLUNGER; MEDIUM; 1 PC,"3,257.00",Cleaning & Hygiene Products,CORE
10049578,AIR WICK,Airwick Refill  250 ml,"3,247.00",Cleaning & Hygiene Products,CORE
10054074,STANDARD,GOOD MAKE  FLOOR POCHA 24 X 24 (PACK OF 12)  PACK of 1,"3,214.00",Cleaning & Hygiene Products,CORE
100212010023,KANGARO,Kangaro Staple Pins No 24/6 20 Pack/Box,"3,204.00",Office Supplies,CORE
10060885,JK,JK  COPIER PAPER SIZE A5  WHITE  75GSM 500  SHEETS PER REAM,"3,050.00",Office Supplies,NON CORE
100501230033,KLEENAL,"18"" Kleenal Plastic Frame Wipeer","3,043.00",Cleaning & Hygiene Products,CORE
100201030010,STANDARD,"Polypropylene Visitor Badge Cover Clip, 100 PCS / PACK","3,037.00",Office Supplies,NON CORE
100207020012,FEVISTIK,Fevistik Super Glue Stick 15 G,"3,017.00",Office Supplies,CORE
100211020014,CAMLIN,Camlin Stamp Pad Plastic  No 2 Medium (Violet ) - 7605451,"3,013.00",Office Supplies,CORE
100501010017,STANDARD,PREMIUM BROOM SOFT GRASS 500GMS WEIGHT,"3,008.00",Cleaning & Hygiene Products,CORE
100806050042,LINC,LINC OCEAN GEL PEN; 0.5 MM; BLUE; (PACK OF 5),"2,845.00",Office Supplies,CORE
100501110023,KLEENAL,"Mop Dry Set 24"" 5Ft MS Handle,,24"" Cotton Refill,Mop Holder","2,778.00",Cleaning & Hygiene Products,CORE
100207010031,FEVICOL,Fevicol Mr Easy Flow (Squezee Bottle) 100 G,"2,743.00",Office Supplies,CORE
100202010154,WORKSTORE,Workstore ST1555 BINDER CLIP 15MM,"2,739.00",Office Supplies,CORE
100608010033,STANDARD,"STANDARD CLOTH-LINED ENVELOPES, 16"""" X 12"", (PACK OF 25 )","2,692.00",Office Supplies,CORE
100605010165,JK,JK ledger paper ream 80 GSM FS size(21.5x34.5cm),"2,644.00",Office Supplies,CORE
100501110032,KLEENAL,"Mop Dry Refill 24"" Cotton Whitte Kleenal","2,640.00",Cleaning & Hygiene Products,CORE
100803030125,CAMLIN,Camlin CD Dvd Marker Pen Green - 7289175,"2,635.00",Office Supplies,CORE
100501180006,GALA,Gala 941 Kitchen Moppy,"2,632.00",Cleaning & Hygiene Products,NON CORE
10055032,STANDARD,STANDARD MASKING TISSUE TAPE 1 INCH X 15 MTR ( PACK OF 6),"2,611.00",Office Supplies,CORE
100212040005,KANGARO,Kangaro HP-45 Stapler Capacity 30 Sheets 24/6-26/6 Staple,"2,589.00",Office Supplies,CORE
100202050014,STANDARD,Nylon Rubber Band 4 inch Assorted Colours 500 gm/Pk,"2,529.00",Office Supplies,CORE
10049587,C&W,ULTRA CARE LIQUID HANDWASH ORIGINAL 5 LITRE CAN,"2,480.00",Cleaning & Hygiene Products,CORE
100616030089,3M,"STICKIE /POSTIT   NOTES 3"" X 3"" 100 SHEETS/NOTES","2,406.00",Office Supplies,CORE
10056571,LIFEBUOY,LIFEBUOY  SOAP MRP 36,"2,400.00",Cleaning & Hygiene Products,NON CORE
100709010007,STANDARD,CLIP BOARD SIZE 240 MM X 370 MM 1 PCS,"2,394.00",Office Supplies,CORE
100605010019,JK,JK copier paper 75 GSM Fullscape size (500 shts ream,"2,372.00",Office Supplies,CORE
100408020103,WORKSTORE,Workstore Report File - FC Assorted,"2,363.00",Office Supplies,CORE
100501110049,KLEENAL,Mop Wet Round Refill with round plastic holder,"2,362.00",Cleaning & Hygiene Products,CORE
100608010336,STANDARD,"STANDARD BROWN PAPER ENVELOPES, 80 GSM,, 16"" X 12""(PACK OF 25 )","2,289.00",Office Supplies,CORE
10052443,OMAX,OMAX/PRIME  PLASTIC DOCUMENT TRAY 4 Tier set  ( 4 PCS  SET),"2,263.00",Office Supplies,CORE
10062556,C&W,C&W /WIZCLEAN TOILET CLEANER 1000 ML BOTTLE,"2,209.00",Cleaning & Hygiene Products,NON CORE
100502040001,STANDARD,"Disposable Paper Cups, 150 ml x 5000 Pc/Pack , 185Gsm","2,191.00",Pantry Supplies,CORE
100608010031,STANDARD,"STANDARD CLOTH-LINED ENVELOPES, GREEN, 12"" X 10"",(PACK OF 50)","2,149.00",Office Supplies,CORE
100501210035,STANDARD,Brush Cobweb Ceiling Nylon Briistles With 5Ft Ms Handle,"2,143.00",Cleaning & Hygiene Products,CORE
100509010003,STANDARD,Hand Gloves Knitted Cotton White 1 Pair/Pack,"2,073.00",Cleaning & Hygiene Products,CORE
